passenger_count,trip_distance,tip_amount,total_amount,tip_ratio
2,2.5,3.95,17.25,22.89855072
3,2.3,2.85,17.15,16.6180758
1,0,0,3.8,0
1,3.9,2.75,16.55,16.6163142
1,12.8,9.25,55.55,16.65166517
1,18.8,10.35,62.15,16.65325825
1,1,0.44,9.24,4.761904762
1,0.3,0,5.3,0
1,3.3,0,18.8,0
1,5.7,5.55,33.35,16.64167916
1,17.3,10,68.56,14.58576429
1,0.3,1.25,7.55,16.55629139
1,0.8,0,6.8,0
2,2.6,4.05,24.35,16.63244353
4,1.8,0,9.8,0
2,2,1.95,11.75,16.59574468
2,2.2,3.35,14.65,22.8668942
1,3.9,2.85,17.15,16.6180758
3,1.6,0,11.3,0
3,1.2,1.75,10.55,16.58767773
1,4,5.45,32.75,16.64122137
2,0.5,0,4.8,0
2,1.7,2.15,12.95,16.6023166
2,1.2,1.95,11.75,16.59574468
2,1.4,1.95,11.75,16.59574468
2,1.3,1,9.3,10.75268817
1,7.7,5,40.56,12.32741617
1,3.94,3.66,21.96,16.66666667
3,2.2,3.35,20.15,16.62531017
2,4.1,0,17.8,0
1,1.43,0,7.3,0
3,1.14,0,7.3,0
1,0.35,0.86,5.16,16.66666667
3,1.59,0,8.8,0
1,1.1,1.46,8.76,16.66666667
1,4.8,1.68,18.48,9.090909091
1,2.5,0,12.8,0
1,4.2,4.95,24.75,20
1,1.8,2,11.8,16.94915254
4,0.7,0,6.8,0
1,0.6,0,6.8,0
1,6.8,0,24.3,0
1,0.4,0,6.3,0
1,9.5,0,43.8,0
1,2.2,2.9,12.7,22.83464567
1,2.4,0,12.3,0
2,1.4,2.3,11.6,19.82758621
1,1.1,1.56,9.36,16.66666667
1,2.1,1.13,12.43,9.090909091
1,8.8,0,32.3,0
1,2.1,2.25,13.55,16.60516605
1,1.8,1,11.3,8.849557522
3,1.4,0,9.3,0
1,0.7,0,5.8,0
1,0.6,1.15,6.95,16.54676259
1,5.7,5.95,35.75,16.64335664
2,1.44,1.03,13.28,7.756024096
2,5.87,0,21.3,0
2,3.9,0,15.8,0
1,1.5,0,8.8,0
1,0.68,1.66,9.96,16.66666667
1,4.16,0,18.3,0
1,2.16,0,10.8,0
1,1.47,0.5,12.3,4.06504065
1,1.2,2.04,8.84,23.07692308
1,1.04,1,8.8,11.36363636
1,1.72,2.82,14.12,19.97167139
1,19.27,10.56,63.36,16.66666667
2,2.44,0,11.8,0
2,1.28,1,8.3,12.04819277
1,3.82,1,17.3,5.780346821
1,20,5.86,64.42,9.096553865
1,0.7,0,5.8,0
1,3,0,12.8,0
1,2.4,0,10.8,0
1,3.6,4.89,21.19,23.07692308
1,5.2,4.7,23.5,20
1,1.3,0,8.8,0
1,5.1,0,18.3,0
1,3.77,3.46,20.76,16.66666667
1,4.4,2,20.8,9.615384615
1,1.9,1.85,11.15,16.59192825
1,1.6,1.85,11.15,16.59192825
1,2.5,0,10.8,0
2,2.2,2.15,12.95,16.6023166
1,1.38,1,9.8,10.20408163
1,3.72,2.6,19.9,13.06532663
1,4.54,2,19.3,10.3626943
1,1.3,2.9,12.7,22.83464567
1,5.8,3.95,23.75,16.63157895
1,4.6,3.12,23.92,13.04347826
1,1.6,2.75,12.05,22.82157676
2,1.7,0,10.3,0
1,2.9,3.05,15.35,19.86970684
1,3.9,3.05,18.35,16.62125341
1,4,0,15.3,0
1,1.9,1.65,9.95,16.58291457
2,5.18,6.96,41.76,16.66666667
1,0.63,1.16,6.96,16.66666667
1,11.12,3,40.8,7.352941176
1,0.8,0,6.8,0
5,1.11,0,7.3,0
5,1,0,7.8,0
5,3.44,0,15.3,0
2,6.6,0,27.3,0
1,6.9,3,33.06,9.074410163
1,1.64,1.47,11.27,13.04347826
1,0.89,1.82,9.12,19.95614035
1,0.94,2.46,14.76,16.66666667
1,0.7,0.94,7.24,12.98342541
1,1.1,1.36,8.16,16.66666667
1,1.8,2.94,12.74,23.07692308
2,8,0,30.06,0
1,0.4,0,4.8,0
1,0.6,0,5.3,0
1,0.8,1,7.8,12.82051282
2,1.3,1.55,9.35,16.57754011
1,3.1,3.05,18.35,16.62125341
2,3.6,3.35,20.15,16.62531017
1,2.17,2,14.3,13.98601399
2,0.74,1.45,7.25,20
3,1.67,2.26,13.56,16.66666667
1,2.4,3.05,15.35,19.86970684
1,2.1,2.75,16.55,16.6163142
3,1.9,2.9,12.7,22.83464567
1,11.11,10,45.3,22.07505519
1,1.4,1.75,10.55,16.58767773
2,3.7,0,17.3,0
2,1.02,1.56,9.36,16.66666667
2,2.1,0,11.3,0
1,0.82,1.26,7.56,16.66666667
2,2.03,1.4,10.7,13.08411215
2,2.05,0.7,14.5,4.827586207
1,7.44,8.2,41,20
1,5.31,0,17.8,0
1,3.15,2.86,17.16,16.66666667
1,7.16,8.95,44.75,20
2,2.09,2.26,13.56,16.66666667
2,7.11,3.08,29.88,10.30789826
1,1.5,1.75,10.55,16.58767773
1,5.5,2,27.06,7.390983001
2,2.45,2.56,15.36,16.66666667
2,3.22,2.56,15.36,16.66666667
2,0.02,0,52.8,0
2,2.53,0,10.3,0
1,1.44,2.66,15.96,16.66666667
1,2.9,0,13.8,0
1,0.52,1.45,7.25,20
1,15.6,11.7,70.26,16.65243382
3,1,1.45,8.75,16.57142857
4,1.7,1,11.8,8.474576271
1,2.71,2.07,15.87,13.04347826
1,0.84,1.76,10.56,16.66666667
2,2.9,2.75,16.55,16.6163142
1,0.7,1.05,6.35,16.53543307
1,2.8,3.05,15.35,19.86970684
2,3.3,1,17.8,5.617977528
2,2.6,2.75,16.55,16.6163142
2,0.6,1.45,8.75,16.57142857
1,3.3,1.78,16.58,10.7358263
1,0.6,0,5.3,0
1,1.5,1.75,10.55,16.58767773
1,0.7,1.35,8.15,16.56441718
2,3.8,3,20.8,14.42307692
1,3.42,2.86,17.16,16.66666667
3,6.95,0,26.3,0
1,1.53,1.2,9,13.33333333
1,1.48,0,9.3,0
1,2.01,2.32,11.62,19.96557659
5,1.81,1.86,11.16,16.66666667
5,2.28,0,10.8,0
1,2.5,3.05,15.35,19.86970684
2,3.1,0,23.8,0
1,2.6,2.55,15.35,16.61237785
1,4.7,3,23.3,12.87553648
1,0.3,1.05,6.35,16.53543307
1,3.4,4,17.3,23.12138728
3,18.16,5.08,63.64,7.982401006
1,8.3,5,37.56,13.31203408
1,3.5,4,27.8,14.38848921
2,4,4.45,26.75,16.63551402
3,4.71,0,15.8,0
2,3.69,0,16.8,0
1,3.8,3.35,20.15,16.62531017
3,2.6,2.65,15.95,16.61442006
1,1,1,9.3,10.75268817
1,1.5,0.83,9.13,9.090909091
1,8.6,1.5,31.3,4.792332268
1,0.53,0,5.3,0
1,2.95,0,15.3,0
1,2.32,0,10.8,0
1,1.9,2.15,12.95,16.6023166
2,1.4,0,9.3,0
1,1.5,1.95,11.75,16.59574468
2,2.4,1,12.3,8.130081301
1,1.3,1,9.3,10.75268817
3,4.33,4.06,24.36,16.66666667
2,5.1,2.5,22.3,11.21076233
1,1.3,1.45,8.75,16.57142857
1,5.05,3.76,22.56,16.66666667
4,1.43,0,7.8,0
4,1.45,0,8.8,0
1,0.89,0,6.8,0
1,0.77,0,6.8,0
1,1.38,2.06,12.36,16.66666667
1,1.63,0.01,9.31,0.107411386
1,1.66,1.96,11.76,16.66666667
1,3.3,0,17.3,0
1,1.56,0,8.3,0
1,0.7,1.16,6.96,16.66666667
1,0.96,0,7.8,0
1,1.13,2.16,12.96,16.66666667
2,1.11,1.66,9.96,16.66666667
2,6.21,0,26.3,0
1,2.1,1.2,11.5,10.43478261
1,3.41,3.26,19.56,16.66666667
1,0.7,1.2,7.5,16
1,2.3,2,14.8,13.51351351
3,4.58,3,21.3,14.08450704
3,1.9,2.06,12.36,16.66666667
1,1.9,0,13.3,0
1,3.11,0,13.3,0
1,3.27,3.45,17.25,20
1,1.9,2.26,13.56,16.66666667
1,1.36,1.96,11.76,16.66666667
1,1.39,1.96,11.76,16.66666667
1,2.1,0,10.3,0
5,4.01,4.08,20.38,20.01962709
1,5.6,0,24.8,0
1,0.7,0,8.3,0
3,1.46,1.8,11.6,15.51724138
1,1.48,1.66,9.96,16.66666667
5,5.77,5.26,31.56,16.66666667
4,0.3,1.05,6.35,16.53543307
1,4.6,0,18.3,0
2,2.6,0,14.3,0
0,1.7,0,9.8,0
0,3.3,2.65,15.95,16.61442006
0,6.3,5.45,27.25,20
1,4.5,5.05,25.35,19.92110454
1,0.8,1.35,8.15,16.56441718
1,0.9,0,7.8,0
1,2.8,2.55,15.35,16.61237785
1,3.7,3.55,17.85,19.88795518
1,1.9,1.95,11.75,16.59574468
1,1.9,1.95,11.75,16.59574468
2,2.7,2,15.3,13.07189542
1,0.6,1.05,6.35,16.53543307
1,1.1,1.7,8.5,20
2,1.3,0,7.8,0
2,1.49,2.45,12.25,20
3,0.83,2.36,14.16,16.66666667
2,0.78,0,6.3,0
2,1.58,2.2,11,20
1,3.43,2,16.3,12.26993865
1,3.5,2.39,15.69,15.23263225
1,1.12,2.16,12.96,16.66666667
1,2.4,2.7,13.5,20
1,4.9,0,20.8,0
2,1.24,1.46,8.76,16.66666667
2,0.51,0.96,5.76,16.66666667
1,0.89,1.2,8,15
1,2.19,2.16,12.96,16.66666667
1,0.8,0,5.8,0
2,1.9,0,11.8,0
1,3,2.55,15.35,16.61237785
1,0.64,0,5.8,0
1,2.59,2.46,14.76,16.66666667
1,1.14,1.46,8.76,16.66666667
1,4.01,4.2,22,19.09090909
1,2.7,0,12.8,0
1,0.9,0,7.3,0
2,3.9,3.85,23.15,16.63066955
1,0.9,1.76,10.56,16.66666667
1,2.9,2.75,16.55,16.6163142
2,0.9,2,9.3,21.50537634
0,6.4,5.85,35.15,16.64295875
2,0.84,0,7.8,0
1,3.5,4.05,20.35,19.9017199
2,7.3,8.3,41.6,19.95192308
3,1,1.25,7.55,16.55629139
1,1.5,2.3,11.6,19.82758621
1,3.16,0,19.3,0
1,20.27,10.56,63.36,16.66666667
1,0.9,1.5,8.8,17.04545455
1,0.8,1.65,9.95,16.58291457
1,1.1,0.83,9.13,9.090909091
1,0.2,1,5.3,18.86792453
1,2.1,2,14.8,13.51351351
2,1.2,2.05,10.35,19.80676329
2,2.37,2.56,15.36,16.66666667
1,6.82,0,34.3,0
6,2.97,3.58,17.88,20.02237136
6,1.79,2.45,12.25,20
6,5.1,2,25.8,7.751937984
1,1.77,0,10.3,0
1,1.47,0,9.3,0
1,1.58,0,9.8,0
1,1.81,1.96,11.76,16.66666667
1,1.1,1.46,8.76,16.66666667
1,0.44,1,5.8,17.24137931
1,0.35,1.32,6.62,19.93957704
1,1.39,1.86,11.16,16.66666667
1,1.94,1.5,10.3,14.5631068
1,2.14,2.26,13.56,16.66666667
2,3.4,2.75,16.55,16.6163142
2,16.3,0,51.8,0
1,15.27,0,48.8,0
1,2.22,1,10.8,9.259259259
1,2.51,3.84,16.64,23.07692308
1,1.97,0,11.3,0
1,5.16,4.46,26.76,16.66666667
1,5.69,0,20.8,0
3,0,60,125.8,47.69475358
1,1.4,1,8.8,11.36363636
1,4.3,0,18.3,0
1,1.9,1.95,11.75,16.59574468
1,6.2,0,25.3,0
1,3.7,4,27.3,14.65201465
1,2.49,2.46,14.76,16.66666667
1,0.77,1.2,6.5,18.46153846
1,1.16,1,8.8,11.36363636
1,1.41,2.06,12.36,16.66666667
1,6.7,5,40.8,12.25490196
1,2.15,0,14.3,0
1,1.02,1.1,8.4,13.0952381
1,1.58,1.66,9.96,16.66666667
3,4.5,3,23.8,12.60504202
1,1.3,2.05,12.35,16.59919028
1,1.31,1.38,15.18,9.090909091
1,3.14,2.7,20,13.5
1,18.3,10,68.56,14.58576429
2,3.6,0,17.3,0
2,6.5,0,27.8,0
0,3.8,4,25.3,15.81027668
0,2.9,4.85,21.15,22.93144208
3,0.7,0,6.3,0
1,1.2,2,9.8,20.40816327
2,6,4.35,26.15,16.63479924
2,2,2.25,13.55,16.60516605
1,3.2,3,26.3,11.40684411
1,12.2,0,39.3,0
1,0.72,1.26,7.56,16.66666667
1,1.98,1.86,13.11,14.18764302
1,2.09,1,11.3,8.849557522
1,1.9,2.06,12.36,16.66666667
1,1.44,0,8.3,0
1,1.08,0,6.3,0
1,5,4.45,26.75,16.63551402
1,3.7,3.15,18.95,16.62269129
1,2.37,2.86,17.16,16.66666667
1,1.4,2.26,13.56,16.66666667
1,2.53,0,14.3,0
1,2.63,2.66,15.96,16.66666667
1,1.22,0,8.8,0
1,1.95,0.5,10.8,4.62962963
1,1.2,1.66,9.96,16.66666667
1,0.73,1.16,6.96,16.66666667
2,1.5,0,7.3,0
1,1.1,1.55,9.35,16.57754011
2,0.76,1,7.3,13.69863014
1,1.19,1,9.8,10.20408163
1,1.67,1,12.3,8.130081301
1,5.9,4.56,27.36,16.66666667
1,2.3,1,14.3,6.993006993
1,2.38,0,12.8,0
1,8.63,0,30.3,0
1,19.41,0,58.56,0
1,1.3,1.25,9.55,13.08900524
1,0.98,1.95,9.75,20
1,4.88,0,25.8,0
2,0.9,0,7.3,0
1,0.9,0,7.8,0
2,0.7,0,6.3,0
1,8.61,15,50.3,29.82107356
1,2.64,1.63,17.93,9.090909091
1,2.38,0,12.8,0
1,5.4,5.95,29.75,20
1,5.1,1,20.3,4.926108374
1,4.3,2,19.8,10.1010101
1,0.3,0.95,5.75,16.52173913
1,1.3,1.65,9.95,16.58291457
1,1.3,1.66,9.96,16.66666667
1,2.66,2.86,17.16,16.66666667
1,1.05,1.56,9.36,16.66666667
1,2.18,2.06,12.36,16.66666667
1,5.07,0,21.8,0
2,1.83,2.36,14.16,16.66666667
4,1.18,1.76,10.56,16.66666667
2,2.58,1.77,13.57,13.04347826
3,1.62,10,19.3,51.8134715
1,2.1,2.15,12.95,16.6023166
1,0.5,1.05,6.35,16.53543307
1,0.5,1.25,7.55,16.55629139
1,1.4,1.56,9.36,16.66666667
1,1.4,1,10.8,9.259259259
1,2.3,2,14.8,13.51351351
1,1.8,1.2,10,12
1,1.3,1.8,9.1,19.78021978
2,1.5,0,9.8,0
5,1.2,2.06,12.36,16.66666667
5,2.96,2,14.8,13.51351351
4,2.7,0,16.3,0
1,1.6,1.85,11.15,16.59192825
1,0.5,1.05,6.35,16.53543307
1,2.4,1,12.8,7.8125
1,0.9,1.45,8.75,16.57142857
1,5.2,5.95,35.75,16.64335664
2,2,2.55,12.85,19.84435798
1,1.7,2,10.8,18.51851852
1,0.7,0,7.3,0
1,1.4,0,10.8,0
6,0.58,0,5.3,0
6,4.41,3.36,20.16,16.66666667
1,2.4,3.45,17.25,20
1,2.7,0,12.3,0
1,1.8,0,9.8,0
1,1.3,2.15,12.95,16.6023166
1,1.5,1.75,10.55,16.58767773
1,5.28,4,23.8,16.80672269
1,18.07,11.71,70.27,16.66429486
1,0.46,0,5.3,0
2,1.6,1,11.3,8.849557522
1,1.5,0,9.3,0
1,5.1,3.95,23.75,16.63157895
1,2,0,11.3,0
